"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150"
"2018-12-31",-0.00333,-0.00275,-0.00177,-0.00046,0.00099,0.00238,0.00372,0.00499,0.00618,0.00726,0.00822,0.00909,0.00987,0.01054,0.01105,0.01143,0.01173,0.01202,0.01235,0.01275,0.01322,0.01376,0.01434,0.01494,0.01555,0.01617,0.01678,0.01738,0.01797,0.01854,0.0191,0.01964,0.02016,0.02066,0.02115,0.02162,0.02207,0.0225,0.02292,0.02332,0.0237,0.02407,0.02443,0.02477,0.0251,0.02542,0.02573,0.02602,0.02631,0.02658,0.02685,0.0271,0.02735,0.02759,0.02782,0.02804,0.02825,0.02846,0.02866,0.02885,0.02904,0.02923,0.0294,0.02957,0.02974,0.0299,0.03006,0.03021,0.03036,0.0305,0.03064,0.03078,0.03091,0.03104,0.03116,0.03129,0.0314,0.03152,0.03163,0.03174,0.03185,0.03196,0.03206,0.03216,0.03226,0.03235,0.03245,0.03254,0.03263,0.03271,0.0328,0.03288,0.03296,0.03304,0.03312,0.0332,0.03327,0.03335,0.03342,0.03349,0.03356,0.03363,0.03369,0.03376,0.03382,0.03388,0.03395,0.03401,0.03407,0.03412,0.03418,0.03424,0.03429,0.03435,0.0344,0.03445,0.0345,0.03456,0.03461,0.03465,0.0347,0.03475,0.0348,0.03484,0.03489,0.03493,0.03498,0.03502,0.03506,0.0351,0.03514,0.03518,0.03522,0.03526,0.0353,0.03534,0.03538,0.03541,0.03545,0.03549,0.03552,0.03556,0.03559,0.03563,0.03566,0.03569,0.03573,0.03576,0.03579,0.03582
"2019-01-31",-0.00324,-0.00269,-0.00187,-0.00087,0.00023,0.00136,0.00249,0.00362,0.0047,0.00573,0.00665,0.00747,0.00823,0.00888,0.0094,0.00978,0.01009,0.01039,0.01073,0.01113,0.01162,0.01216,0.01274,0.01335,0.01397,0.01459,0.0152,0.0158,0.01639,0.01697,0.01753,0.01807,0.0186,0.0191,0.01959,0.02006,0.02051,0.02094,0.02136,0.02177,0.02215,0.02252,0.02288,0.02323,0.02356,0.02388,0.02418,0.02448,0.02477,0.02504,0.02531,0.02556,0.02581,0.02605,0.02628,0.0265,0.02672,0.02692,0.02712,0.02732,0.02751,0.02769,0.02787,0.02804,0.02821,0.02837,0.02853,0.02868,0.02883,0.02897,0.02911,0.02925,0.02938,0.02951,0.02964,0.02976,0.02988,0.02999,0.03011,0.03022,0.03033,0.03043,0.03053,0.03063,0.03073,0.03083,0.03092,0.03101,0.0311,0.03119,0.03128,0.03136,0.03144,0.03152,0.0316,0.03168,0.03175,0.03182,0.0319,0.03197,0.03204,0.03211,0.03217,0.03224,0.0323,0.03236,0.03243,0.03249,0.03255,0.03261,0.03266,0.03272,0.03277,0.03283,0.03288,0.03294,0.03299,0.03304,0.03309,0.03314,0.03318,0.03323,0.03328,0.03333,0.03337,0.03342,0.03346,0.0335,0.03354,0.03359,0.03363,0.03367,0.03371,0.03375,0.03379,0.03382,0.03386,0.0339,0.03394,0.03397,0.03401,0.03404,0.03408,0.03411,0.03415,0.03418,0.03421,0.03424,0.03428,0.03431
"2019-02-28",-0.00311,-0.00238,-0.00146,-0.00038,0.00071,0.00182,0.00294,0.00406,0.00513,0.00611,0.00702,0.00789,0.00869,0.00938,0.00993,0.01033,0.01065,0.01096,0.01129,0.01169,0.01217,0.0127,0.01328,0.01387,0.01448,0.01508,0.01568,0.01627,0.01685,0.01742,0.01796,0.01849,0.01901,0.0195,0.01998,0.02044,0.02088,0.02131,0.02172,0.02211,0.02249,0.02285,0.0232,0.02354,0.02387,0.02418,0.02448,0.02477,0.02505,0.02532,0.02558,0.02583,0.02607,0.02631,0.02653,0.02675,0.02696,0.02716,0.02736,0.02755,0.02774,0.02792,0.02809,0.02826,0.02842,0.02858,0.02874,0.02888,0.02903,0.02917,0.02931,0.02944,0.02957,0.0297,0.02982,0.02994,0.03006,0.03017,0.03028,0.03039,0.0305,0.0306,0.0307,0.0308,0.0309,0.03099,0.03108,0.03117,0.03126,0.03135,0.03143,0.03151,0.03159,0.03167,0.03175,0.03182,0.0319,0.03197,0.03204,0.03211,0.03218,0.03224,0.03231,0.03237,0.03244,0.0325,0.03256,0.03262,0.03268,0.03273,0.03279,0.03284,0.0329,0.03295,0.033,0.03306,0.03311,0.03316,0.03321,0.03325,0.0333,0.03335,0.03339,0.03344,0.03348,0.03353,0.03357,0.03361,0.03365,0.03369,0.03373,0.03377,0.03381,0.03385,0.03389,0.03393,0.03396,0.034,0.03404,0.03407,0.03411,0.03414,0.03418,0.03421,0.03424,0.03427,0.03431,0.03434,0.03437,0.0344
"2019-03-31",-0.0033,-0.0029,-0.0024,-0.00168,-0.00088,1e-05,0.00095,0.00191,0.0029,0.00378,0.0046,0.00541,0.00619,0.00687,0.00741,0.00779,0.00809,0.00838,0.00871,0.00911,0.00962,0.01019,0.01081,0.01146,0.01212,0.01278,0.01344,0.01409,0.01473,0.01535,0.01595,0.01653,0.01709,0.01764,0.01816,0.01867,0.01915,0.01962,0.02007,0.0205,0.02092,0.02132,0.02171,0.02208,0.02243,0.02278,0.02311,0.02342,0.02373,0.02402,0.02431,0.02458,0.02485,0.0251,0.02535,0.02559,0.02582,0.02605,0.02626,0.02647,0.02667,0.02687,0.02706,0.02724,0.02742,0.0276,0.02777,0.02793,0.02809,0.02824,0.02839,0.02854,0.02868,0.02882,0.02896,0.02909,0.02921,0.02934,0.02946,0.02958,0.0297,0.02981,0.02992,0.03003,0.03013,0.03023,0.03033,0.03043,0.03053,0.03062,0.03071,0.0308,0.03089,0.03098,0.03106,0.03114,0.03122,0.0313,0.03138,0.03146,0.03153,0.0316,0.03168,0.03175,0.03181,0.03188,0.03195,0.03201,0.03208,0.03214,0.0322,0.03226,0.03232,0.03238,0.03244,0.03249,0.03255,0.0326,0.03266,0.03271,0.03276,0.03281,0.03286,0.03291,0.03296,0.03301,0.03306,0.0331,0.03315,0.03319,0.03324,0.03328,0.03332,0.03336,0.03341,0.03345,0.03349,0.03353,0.03357,0.03361,0.03364,0.03368,0.03372,0.03376,0.03379,0.03383,0.03386,0.0339,0.03393,0.03396
"2019-04-30",-0.00331,-0.00292,-0.00231,-0.00153,-0.00066,0.00028,0.00125,0.00231,0.00322,0.0042,0.00505,0.00582,0.00656,0.00724,0.00778,0.00818,0.00851,0.00882,0.00918,0.0096,0.01011,0.01069,0.01131,0.01196,0.01261,0.01326,0.01391,0.01455,0.01518,0.01579,0.01638,0.01695,0.01751,0.01804,0.01856,0.01905,0.01953,0.01999,0.02043,0.02085,0.02126,0.02165,0.02203,0.0224,0.02274,0.02308,0.0234,0.02372,0.02402,0.02431,0.02459,0.02486,0.02512,0.02537,0.02561,0.02584,0.02607,0.02629,0.0265,0.02671,0.02691,0.0271,0.02728,0.02747,0.02764,0.02781,0.02798,0.02814,0.02829,0.02845,0.02859,0.02874,0.02888,0.02901,0.02914,0.02927,0.0294,0.02952,0.02964,0.02976,0.02987,0.02998,0.03009,0.03019,0.0303,0.0304,0.0305,0.03059,0.03069,0.03078,0.03087,0.03096,0.03104,0.03113,0.03121,0.03129,0.03137,0.03145,0.03152,0.0316,0.03167,0.03174,0.03181,0.03188,0.03195,0.03202,0.03208,0.03214,0.03221,0.03227,0.03233,0.03239,0.03245,0.0325,0.03256,0.03262,0.03267,0.03272,0.03278,0.03283,0.03288,0.03293,0.03298,0.03303,0.03307,0.03312,0.03317,0.03321,0.03326,0.0333,0.03335,0.03339,0.03343,0.03347,0.03351,0.03355,0.03359,0.03363,0.03367,0.03371,0.03375,0.03378,0.03382,0.03385,0.03389,0.03392,0.03396,0.03399,0.03403,0.03406
"2019-05-31",-0.00378,-0.00377,-0.00335,-0.00272,-0.00197,-0.00116,-0.00026,0.00053,0.00146,0.00239,0.00322,0.00398,0.0047,0.00534,0.00586,0.00623,0.00654,0.00686,0.00722,0.00766,0.0082,0.00882,0.00948,0.01017,0.01086,0.01157,0.01226,0.01294,0.01361,0.01427,0.0149,0.01551,0.0161,0.01667,0.01722,0.01775,0.01826,0.01875,0.01922,0.01968,0.02011,0.02053,0.02093,0.02132,0.02169,0.02205,0.0224,0.02273,0.02305,0.02336,0.02366,0.02394,0.02422,0.02449,0.02474,0.02499,0.02524,0.02547,0.02569,0.02591,0.02612,0.02633,0.02653,0.02672,0.02691,0.02709,0.02727,0.02744,0.0276,0.02776,0.02792,0.02807,0.02822,0.02837,0.02851,0.02865,0.02878,0.02891,0.02904,0.02916,0.02928,0.0294,0.02951,0.02963,0.02974,0.02984,0.02995,0.03005,0.03015,0.03025,0.03034,0.03044,0.03053,0.03062,0.03071,0.03079,0.03088,0.03096,0.03104,0.03112,0.0312,0.03127,0.03135,0.03142,0.03149,0.03156,0.03163,0.0317,0.03177,0.03183,0.0319,0.03196,0.03202,0.03208,0.03214,0.0322,0.03226,0.03232,0.03237,0.03243,0.03248,0.03254,0.03259,0.03264,0.03269,0.03274,0.03279,0.03284,0.03289,0.03293,0.03298,0.03302,0.03307,0.03311,0.03316,0.0332,0.03324,0.03328,0.03332,0.03337,0.03341,0.03344,0.03348,0.03352,0.03356,0.0336,0.03363,0.03367,0.0337,0.03374
"2019-06-30",-0.00462,-0.00483,-0.00455,-0.00403,-0.00335,-0.00256,-0.00174,-0.00089,-5e-05,0.00078,0.00153,0.00224,0.00292,0.00353,0.004,0.00433,0.00461,0.00489,0.00524,0.00568,0.00624,0.00688,0.00758,0.0083,0.00904,0.00979,0.01053,0.01126,0.01197,0.01266,0.01334,0.01399,0.01462,0.01523,0.01582,0.01638,0.01692,0.01745,0.01795,0.01843,0.0189,0.01934,0.01977,0.02018,0.02058,0.02096,0.02133,0.02168,0.02203,0.02235,0.02267,0.02298,0.02327,0.02356,0.02383,0.0241,0.02435,0.0246,0.02484,0.02507,0.0253,0.02552,0.02573,0.02593,0.02613,0.02633,0.02651,0.0267,0.02687,0.02704,0.02721,0.02737,0.02753,0.02769,0.02784,0.02798,0.02812,0.02826,0.0284,0.02853,0.02866,0.02878,0.02891,0.02902,0.02914,0.02926,0.02937,0.02948,0.02958,0.02969,0.02979,0.02989,0.02999,0.03008,0.03017,0.03027,0.03036,0.03044,0.03053,0.03061,0.0307,0.03078,0.03086,0.03094,0.03101,0.03109,0.03116,0.03123,0.0313,0.03137,0.03144,0.03151,0.03158,0.03164,0.0317,0.03177,0.03183,0.03189,0.03195,0.03201,0.03206,0.03212,0.03218,0.03223,0.03229,0.03234,0.03239,0.03244,0.03249,0.03254,0.03259,0.03264,0.03269,0.03274,0.03278,0.03283,0.03287,0.03292,0.03296,0.033,0.03305,0.03309,0.03313,0.03317,0.03321,0.03325,0.03329,0.03333,0.03336,0.0334
"2019-07-31",-0.0052,-0.00548,-0.00538,-0.00498,-0.00445,-0.00384,-0.00315,-0.00242,-0.00167,-0.00095,-0.00027,0.00038,0.00101,0.00156,0.00199,0.0023,0.00256,0.00284,0.00319,0.00366,0.00425,0.00493,0.00567,0.00645,0.00724,0.00803,0.00882,0.00959,0.01035,0.01109,0.01181,0.0125,0.01317,0.01382,0.01444,0.01504,0.01562,0.01617,0.01671,0.01722,0.01771,0.01818,0.01864,0.01908,0.0195,0.0199,0.02029,0.02067,0.02103,0.02138,0.02171,0.02203,0.02235,0.02265,0.02294,0.02322,0.02349,0.02376,0.02401,0.02426,0.02449,0.02473,0.02495,0.02517,0.02538,0.02558,0.02578,0.02597,0.02616,0.02634,0.02652,0.02669,0.02686,0.02702,0.02718,0.02733,0.02748,0.02763,0.02777,0.02791,0.02805,0.02818,0.02831,0.02844,0.02856,0.02868,0.0288,0.02892,0.02903,0.02914,0.02925,0.02935,0.02946,0.02956,0.02966,0.02975,0.02985,0.02994,0.03003,0.03012,0.03021,0.03029,0.03038,0.03046,0.03054,0.03062,0.0307,0.03078,0.03085,0.03092,0.031,0.03107,0.03114,0.03121,0.03127,0.03134,0.03141,0.03147,0.03153,0.0316,0.03166,0.03172,0.03178,0.03183,0.03189,0.03195,0.032,0.03206,0.03211,0.03216,0.03222,0.03227,0.03232,0.03237,0.03242,0.03246,0.03251,0.03256,0.0326,0.03265,0.03269,0.03274,0.03278,0.03283,0.03287,0.03291,0.03295,0.03299,0.03303,0.03307
"2019-08-31",-0.00597,-0.00656,-0.00666,-0.00653,-0.00626,-0.00585,-0.00537,-0.00483,-0.00426,-0.0038,-0.00329,-0.00275,-0.00224,-0.00183,-0.00155,-0.0014,-0.0013,-0.00113,-0.00086,-0.00043,0.00017,0.00088,0.00168,0.00253,0.0034,0.00428,0.00516,0.00602,0.00687,0.0077,0.0085,0.00928,0.01004,0.01076,0.01146,0.01214,0.01278,0.01341,0.01401,0.01458,0.01513,0.01566,0.01618,0.01667,0.01714,0.01759,0.01803,0.01845,0.01886,0.01925,0.01962,0.01999,0.02034,0.02067,0.021,0.02132,0.02162,0.02191,0.0222,0.02248,0.02274,0.023,0.02325,0.0235,0.02373,0.02396,0.02418,0.0244,0.02461,0.02481,0.02501,0.0252,0.02539,0.02557,0.02575,0.02592,0.02609,0.02626,0.02642,0.02657,0.02673,0.02687,0.02702,0.02716,0.0273,0.02744,0.02757,0.0277,0.02782,0.02795,0.02807,0.02819,0.0283,0.02841,0.02853,0.02863,0.02874,0.02884,0.02895,0.02905,0.02914,0.02924,0.02933,0.02943,0.02952,0.02961,0.02969,0.02978,0.02986,0.02995,0.03003,0.03011,0.03019,0.03026,0.03034,0.03041,0.03049,0.03056,0.03063,0.0307,0.03077,0.03083,0.0309,0.03097,0.03103,0.03109,0.03115,0.03122,0.03128,0.03133,0.03139,0.03145,0.03151,0.03156,0.03162,0.03167,0.03173,0.03178,0.03183,0.03188,0.03193,0.03198,0.03203,0.03208,0.03213,0.03217,0.03222,0.03226,0.03231,0.03235
"2019-09-30",-0.00525,-0.00553,-0.00559,-0.00534,-0.00505,-0.00467,-0.0042,-0.00366,-0.00309,-0.00254,-0.00202,-0.0015,-0.00099,-0.00055,-0.00024,-7e-05,6e-05,0.00023,5e-04,0.00092,0.00149,0.00219,0.00295,0.00377,0.00461,0.00545,0.0063,0.00713,0.00795,0.00875,0.00953,0.01028,0.01101,0.01171,0.01238,0.01303,0.01366,0.01426,0.01484,0.01539,0.01593,0.01644,0.01693,0.01741,0.01786,0.0183,0.01873,0.01913,0.01952,0.0199,0.02026,0.02062,0.02095,0.02128,0.0216,0.0219,0.0222,0.02248,0.02276,0.02302,0.02328,0.02353,0.02377,0.02401,0.02424,0.02446,0.02467,0.02488,0.02509,0.02528,0.02547,0.02566,0.02584,0.02602,0.02619,0.02636,0.02652,0.02668,0.02683,0.02699,0.02713,0.02728,0.02742,0.02755,0.02769,0.02782,0.02795,0.02807,0.02819,0.02831,0.02843,0.02854,0.02866,0.02877,0.02887,0.02898,0.02908,0.02918,0.02928,0.02938,0.02947,0.02956,0.02966,0.02975,0.02983,0.02992,0.03,0.03009,0.03017,0.03025,0.03033,0.0304,0.03048,0.03055,0.03063,0.0307,0.03077,0.03084,0.03091,0.03097,0.03104,0.03111,0.03117,0.03123,0.03129,0.03136,0.03142,0.03147,0.03153,0.03159,0.03165,0.0317,0.03176,0.03181,0.03186,0.03192,0.03197,0.03202,0.03207,0.03212,0.03217,0.03221,0.03226,0.03231,0.03235,0.0324,0.03244,0.03249,0.03253,0.03257
